Title,First Paragraph
Gregory Peck,"<START> Ni Eldred Gregory Peck ket maysa idi nga Amerikano nga aktor nga isu ket maysa kadagiti kadayegan nga artista iti pelikula manipud kadagiti tawen ti 1940 aginggana kadagiti tawen ti 1960. Nagtultuloy ni Peck a nangiladawan kadagiti nangruna a papel aginggana kadagiti naladaw a tawen ti 1970. Ti panangiladawanna a kas ni Atticus Finch idi 1962 ti pelikula iti To Kill a Mockingbird ket nakagun-odanna iti Kalaingan nga Aktor. Isu ket nainomonado pay iti Oscar iti isu met laeng a kateoria para iti The Keys of the Kingdom (1944), The Yearling (1946), Gentleman's Agreement (1947) ken ti Twelve O'Clock High (1949). Dagiti daddumapay a nagparanganna a pelikula ket mairaman ti Spellbound (1945), The Paradine Case (1947), Roman Holiday (1953), Moby Dick, The Guns of Navarone (1961), Cape Fear, How the West Was Won (1962), The Omen (1976) ken ti The Boys from Brazil (1978). <END>"
Carrie Fisher,"<START> Ni Carrie Frances Fisher, ket Amerikana nga aktres. <END>"
Richard Mentor Johnson,"<START> Ni Richard Mentor Johnson ket isu idi ti maikasiam a Bise Presidente iti Estados Unidos, a naserbi iti administrasion ni Martin Van Buren (1837–1841). Is-isu laeng ti bise presidente a binutusan ti Senado ti Estados Unidos babaen dagiti urnong ti Maikasangapulo ket dua a Panagpasayaat. Ni Johnson ket inrepresentana pay ti Kentucky idiay Kamara dagiti Pannakabagi ti Estados Unidos ken Senado ken nangrugi ken lineppasna ti karrerna ti politiko idiay Kamara dagiti Pannakabagi ti Kentucky. <END>"
Mars Ravelo,"<START> Ni Marcial Ravelo, ad-adda nga am-ammo kas Mars Ravelo, a nayanak iti Tanza, Cavite, Filipinas, ket maysa kadagiti kalatakan ken kaballigian a mannurat iti comics iti Filipinas. Adu ti klasiko a Filipino a karakter iti comics ti pinartuatna a pakairamanan ti Darna, Dyesebel, Lastikman, Bondying, Kaptain Barbel, Booma, Varga, Maruja, Facifica Falayfay, Trudis Liit, Roberta ken dadduma pay. <END>"
Tigran Sargsyan,<START> Ni Tigran Sureni Sargsyan ket Armenio nga ekonomista nga isu idi ti Kangrunaan a MInistro ti Armenia manipud idi 9 Abril 2008 aginggana idi nagikkat idi 3 Abril 2014. <END>
Robert Blust,"<START> Ni Robert A. Blust ket ti maysa a prominente a lingguista kadagiti nadumaduma a pagobraan, a mairaman ti historikal a lingguistika, leksikograpia ken etnolohia. Espesialisado ni Blust ti sasao nga Austronesio ken nakaited kadagiti nangruna a kontribusion iti pagobraan ti lingguistika Austronesio. <END>"
Joanne Woodward,"<START> Ni Joanne Gignilliat Trimmier Woodward ket maysa nga Amerikana nga aktres, produser, aktibista, ken pilantropo. Kaaduan nga ammo isuna para iti pannangabakna iti Kalainagn nga Aktres para iti panangiladawanna iti The Three Faces of Eve (1957). <END>"
Nelson Rockefeller,"<START> Ni Nelson Aldrich Rockefeller ket mays aidi nga Amerikano a negosiante, pilantropo, agseserbi ti publiko, ken politiko. Isu ket nagserbi a kas ti maika-41 a Bise Presidente iti Estados Unidos (1974–1977), a nagserbi babaen ni Presidente Gerald Ford, ken ti maika-49 a Gobernador ti New York (1959–1973). Isu pay ket nagserbi kadagiti administrasion ni Franklin Roosevelt, Harry Truman ken Dwight Eisenhower kadagiti nadumaduma a puesto. isu ket kameng ti Pamilia a Rockefeller, isu ket nalatak nga agur-urnong kadagiti arte. <END>"
Bill Clinton,"<START> Ni William Jefferson 'Bill' Clinton ket maysa nga Amerikano a politiko a nagserbi a kas ti Maika-42 a Presidente iti Estados Unidos Manipud idi 1993 aginggana idi 2001. Naisunsung iti edad a 46, isu ti maikatlo a kaubingan a presidente. Nagtakem ti gibus ti Nalamiis a Gubat, ken isu ti immuna a presidente kadagiti napardas a nagrang-ay a maladaga a kapututan. Ni Clinton ket nailanad a kas maysa a Baro a Demokrata. Adu kadagiti annurotenna ket naigupit a sentrista ti Maikatlo a Pamay-an a pilosopia a panagturay. <END>"
Fidel Castro,"<START> Ni Fidel Alejandro Castro Ruz ket taga-Kuba a politiko ken rebolusionario a nagturay iti Republika ti Kuba a kas ti Nangruna a Ministro manipud idi 1959 aginggana idi 1976 ken kalpasanna a kas Presidente ti Kuba manipud idi 1976 aginggana idi 2008. Iti politika, isu ket Marxista–Leninista ken Kubano a nasionalista,isu ket nagserbi pay a kas ti Umuna a Sekretario ti Partido Komunista ti Kuba manipud idi 1961 aginggana idi 2011. Babaen iti administrasionna, ti Kuba ket nagbalin maysa-partido nga estado ti komunista; ti industria ken dagiti negosio ket nainasionalisadoda idi, ken dagiti reporma sosialista ti estado ket naisayangkat iti amin a paset ti kagimongan. Iti sangalubongan, ni Castro ket Sekretario Heneral idi ti Di Nailinia a Tignay manipud idi 1979 aginggana idi 1983 ken manipud idi 2006 aginggana idi 2008. <END>"
Hector Berlioz,"<START> Ni Hector Berlioz ket maysa idi a Pranses a Romantiko a kompositor, a nalatak a naam-ammuan para kadagiti komposisionna ti Symphonie fantastique ken Grande messe des morts. Ni Berlioz ket nakaited kadagiti adu a kontribusion ti moderno nga orkestra iti bukodna a Treatado iti Instrumentasion. Isu ket nangilaslasin kadagti dadakkel a puersa ti orkestra para kadagiti obrana; a kas maysa a konduktor, isu ket nagpabpabuya kadagiti konsierto nga adda dagiti nasurok a 1,000 a musikero. Isu ket nagparnuay pay ti agarup a 50 a kankanta. Ti impluensiana ket nanangruna para iti adu pay a panagparang-ay ti Romantisismo, a naipangpangruna kadagiti kompositor a kas ni Richard Wagner, Nikolai Rimsky-Korsakov, Franz Liszt, Richard Strauss, Gustav Mahler ken dagiti dadduma pay. <END>"
Harry S. Truman,"<START> Ni Harry S. Truman ket isu idi ti maika-33 a Presidente iti Estados Unidos (1945–1953). A kas ti maikatlo a bise pesidente ni Franklin D. Roosevelt ken ti maika-34 a Bise Presidente iti Estados Unidos (1945), isu ket simmaruno ti kinapresidente idi Abril 12, 1945, idi pimmusay ni Presidente Roosevelt kalpasan ti basbassit ngem tallo a bulan kalpasan ti irurugi ti awan ti pakaigiddiatanna a maikapat a termino. <END>"
Judy Garland,"<START> Ni Judy Garland ket nalatak nga aktres ti Estados Unidos, mabigbig a maysa kalaingan iti pelikula, telebision ken teatro. <END>"
Robert Donat,"<START> Ni Friedrich Robert Donat ket maysa idi nga Ingles nga aktor ti pelikula ken entablado. Isu ket kaaduan a malaglagip para kadagiti papelna iti The 39 Steps ni Alfred Hitchcock (1935) ken iti Goodbye, Mr. Chips (1939) ti nangabakanna ti Kalaingan nga Aktor. <END>"
Ramon Magsaysay,"<START> Ni Ramón del Fierro Magsaysay ket isu idi ti maika-3 a Presidente ti Republika ti Filipinas manipud idi Disiembre 30, 1953 aginggana idi pimmusay iti pannakatupa ti eroplano idi 1957. Nabutosan a kas Presidente babaen ti wagayway iti Partido Nasionalista. <END>"
John Adams,"<START> Ni John Adams ket maysa nga Amerikano a Nangipatakder nga Ama, ken ti maikadua a Presidente iti Estados Unidos (1797–1801). Isu ket maysa pay nga abogado, estadista, diplomatiko, politiko a teorista, ken mangiyuna a kampeon iti panagwayawayas idi 1776. Isu ket nanipud idiay New England, ni Adams, ket maysa a nadayeg nga abogado ken publiko a pigura idiay Boston, nalaing a napaadal ken nagrepresenta kadagiti Panagpalpalawag a kapategan a nagiyaddang ti republikanismo. Isu ket maysa a Pederalista, isu pay ket nagato a makaimpluensia ken maysa kadagiti nagruna a Nangipatakder nga Ama iti Estados Unidos. <END>"
Thomas Jefferson,"<START> Ni Thomas Jefferson ket maysa idi nga Amerikano a Nangipatakder nga Ama, ti kangrunaan a nagsurat iti Pannakirangarang ti Panakawaya (1776) ken ti maikatlo a Presidente iti Estados Unidos (1801–1809). Idi rugi ti Amerikano a Rebolusion, Isu ket nagserbi iti Kontinental a Kongreso, a kas pannakabagi ti Virginia ken nagserbi pay a kas ti panawen ti gubat a Gobernador iti Virginia (1779–1781). Kalpasan ti gibus ti gubat, manipud iti tengnga idi 1784 ni Jefferson ket nagserbi a kas maysa adiplomatiko, a naipuesto idiay Paris, tapno makatulong a makitulag kadagiti komersio a tulagan. Idi Mayo 1785, isu ket nagbalin a ti Ministro ti Pransia iti Estados Unidos. Ni ket isu ti immuna a Sekretario iti Estado iti Estados Unidos 1790–1793) a nagserbi babaen ni presidente George Washington. Kalpasan ti panagikkatna iti daytoy nga opisina, a kaduna ti gayyemna a ni James Madison isu ket nagurno sti Demokratiko-Partido Repbulikano. Isu ket nabutosan a kas Bise-Presidente idi 1796, babaen ti kasuppiatna ani John Adams, ni Jefferson a kaduana ni Madison ket nalimed a nagisurat ti Resolusion ti Kentucky ken Virginia, a daytoy ket nangpadas nga agukas kadagiti Ganganaet ken Sedisiona Tignay. <END>"
James Madison,"<START> Ni James Madison, Jr. ket maysa idi nga Amerikano nga estadista ken politiko a teorista, ti maikapat a Presidente iti Estados Unidos (1809–1817). Isu ket naikabkablaawan akas ti “Ama iti Batay-linteg” para iti kaipangrunaanna iti panagburador iti Batay-linteg iti Estados Unidos ken kas ti kangrunaan a nangipatakder ken nagsurat iti Bilin dagiti Karbengan iti Estados Unidos. Isu ket nagserbi a kas maysa a politiko ti kaaduana apanagbiagna. A kasla dagiti nanipud ti Virginia nga estadista iti panagtagabu a kagimongan, isu ket nagtagikua kadagiti tagabu a kas paset dagiti napili; isu ket nakatawid ti bukodna a plantasion a tinawtawagan a kas ti Montpelier, ken nagtagikua kadagiti ginasut a tagabu iti panawen ti kabibiagna tapno agtalon ti tobako ken dagiti dadduma pay a maapit. <END>"
James Monroe,"<START> Ni James Monroe ket maysa idi a maikalima a Presidente iti Estados Unidos (1817–1825). Ni Monroe ket isu ti naudi idi nga isu ket Nagipatakder nga Ama iti Estados Unidos, ken ti kinaudi a presidente manipud iti Virginia a dinastia ken ti Republikano a Henerasion. Ti pinakapresidentena ket namarkaan babaen kadagiti 'Panawen ti Naimbag a Panakarikna' – ti maysa a paset ti panawen nga adda dagiti bassit laeng a panagriri ti makitipon – ken kalpasan daytoy ti Derraaw iti 1819 ken ti maysa a narungsota debado ti panagawat iti Missouri a Teritorio. Ni Monroe ket kaaduana naamammoan para iti panagirangarangna iti Monroe a Doctrina idi 1823, a nagibaga a ti Estados Unidos ket saanna nga ibturan dagiti sumakbay a panakibiang ti Europa iti Kaamerikaan. <END>"
John Quincy Adams,"<START> Ni John Quincy Adams ket isu idi ti maikanem a Presidente iti Estados Unidos (1825–1829). Idu ket nagserbi idi a kas maysa nga Amerikano a diplomatiko, Senador, ken pannakabagi ti Kongreso. Isu ket kameng idi iti Pederalista, Demokratiko-Republikano, Nailian a Republikano, ken ti kalpasan daytoy ti Kontra-Masoniko ken ti Whig a partido. Ni Adams ket anak ti dati a Presidente ani John Adams ken Abigail Adams. A kas maysa a diplomatiko, ni Adams ket adda ti importante a papel iti pannakitinnulag kadagiti adu nga internasional a tulagan, a naisangsangayan ti Tulag iti Ghent, a daytoy ti nagileppas ti Gubat iti 1812. A kas ti Sekretario iti Estado, isu ket nakitinnulag iti Nagkaykaysa a Pagarian para iti amianan a pagbeddengan ti Amerika ken ti Kanada, nakitinnulag iti Espania ti panakaikapet ti Florida, ken sinuratna ti Monroe a Doctrina. Dagiti historiador ket umannurotda nga isu ket maysa kadagiti kalatakan a diplomata ken sekretario iti estado iti Amerikano a pakasaritaan. <END>"
Andrew Jackson,"<START> Ni Andrew Jackson ket isu idi ti maikapito a Presidente iti Estados Unidos (1829–1837). A naikuartel idiay prontera ti Tennessee, ni Jackson ket maysa idi a politiko ken heneral iti buyot a nagparukma dagiti Creek Indiano idiay Gubat iti Horseshoe Bend (1814), ken dagiti Britaniko idiay Gubat iti New Orleans (1815). Isu ket maysa a polarisador a pigura a nagituray ti Maikadua a Partido a Sistema idi panawen ti 1820 ken 1830, a kas nga presidente, dinadaelna ti ti nailian a banko ken inyakarna dagiti kaaduan a tribu dagiti Indiano manipud iti Abagatan a daya ken inpanna ida idiay laud ti Karayan Mississippi. Dagiti nagagar a sumursurot kaniana ket nagpartuat ti moderno a Partido Demokratiko. Th 1830–1850 paset ti panawen a kalpasan daytoy ket nagbalin a kas ti panawen iti Jacksoniano a demokrasia. <END>"
Martin Van Buren,"<START> Ni Martin Van Buren ket isu idi ti maikawalo a Presidente iti Estados Unidos (1837–1841). Sakbay ti panaka-presidentena, isu idi ti maikawalo a Bise Presidente (1833–1837) ken ti maikasangapulo a Sekretario ti Estado, babaen ni Andrew Jackson (1829–1831). <END>"
William Henry Harrison,"<START> Ni William Henry Harrison ket isu idi ti maikasiam a Presidente iti Estados Unidos (1841), maysa nga Amerikano nga opisial ti milisia ken politiko, ken ti immuna a presidente a natay bayat bga adda ti opisina. Isu ket agtawen idi ti 68, ken 23 nga aldaw idi immuna a nagtakem, ti kalakayan a nabutosan a presidente aginggana idi nabutosan ni Ronald Reagan idi 1981, ken ti kinaudi a Presidente a naipasngay sakbay ti Panagirangarang iti Pannakawaya ti Estado sUnidos. Ni Harrison ket pimmusay idi maika-32 nga aldawna iti opisina iti komplikasion manipud ti sakit ti bara, nga isu ket nagserbi ti kabassitan a panagturay iti pakasaritaan ti presidente ti Estados Unidos. Ti ipupusayna ket nakarisik ti bassit a batay-linteg a kibaltang, ngem dayta a kibaltang ket nagsolbar kadagiti adu a salusod a maipanggep ti panagsarsaruno ti presidente a saan a nasungbatan babaen ti Batay-linteg aginggana idi naipasa tio maika-25 a panagpasayaat. <END>"
John Tyler,"<START> NI John Tyler ket isu idi ti maikasangapulo a Presidente iti Estados Unidos (1841–1845), kalpasan nga isu ti maikasangapulo a Bise Presidente iti Estados Unidos (1841). Isu ket patubo ti Virginia, ni Tyler ket nagserbi a kas maysa a lehislador ti estado, gobernador, pannakabagi ti E.U., ken senador kalpasana a nabutosan a kas Bise Presidente idi 1840. Isu idi ti immuna a simmaruno ti opisina ti Presidente kalpasan ti ipupusay ti agdama. Ti panagsuppiat ni Tyler ti nationalismo ken empatiko a panagsuporta kadagiti karbengan ti estado ket nakaayayat kaniana dagiti kailianna ti Virginia ngen isu ket linislisian dagiti politiko a kumaduaanna a nangited kaniana ti bileg idiay Washington. Ti panaka-presidentena ket nabaldado babaen ti panagsuppiat manipud kadagiti dua a partido. Iti asideg ti gibus ti biagna, isu ket nagsuporta kadagit panagsina a tignay dagiti estado ti abagatan, ket isu ket nabutosan idiay Kongreso iti Konpederado nga Estado iti Amerika. <END>"
Usain Bolt,"<START> Ni Usain St. Leo Bolt ket Hamaikano nga umu-umsiak. Naikeddeng nga isu ti kapardasan a tao, ken isu ti immuna a tao a nagtengngel kadagiti rekord iti lubong iti 100 a metmetro ken 200 a metmetro manipud kadagiti panagrukod ti napno nga automatiko nga oras ket nagbalin a nasken idi 1977. Iti pannakakakikikuyogna kadagiti katimpuyoganna, isu ket nangisaad pay iti rekord iti 4×100 a metmetro relay. Isu ti agdama a kampeon ti Olimpiada kadagitoy a tallo a salisal, ti immuna a tao a nangabak kadagiti innem a medalia iti Olimpiada iti panagimsiak, ken ti namin sangapulo ket maysa a kampeonato iti Lubong. Isu ti immuna a nakagun-od iti 'doble doble' babaen ti pannangabakna kadagiti titutlo ti 100 m ken 200 m kadagiti nagsasaruno nga Olimpiada, ken pinalaingna daytoy babaen ti immuna a 'doble triple'. <END>"
James K. Polk,"<START> Ni James Knox Polk ket isu idi ti maika-11 a Presidente iti Estados Unidos (1845–1849). Ni Polk ket naipasngay idiay Kondado ti Mecklenburg, North Carolina. Isu ket nagtaeng ken nangirepresenta pay ti Tennessee. Isu ket maysa a Demokratiko, ni Polk ket nagserbi a kas ti maika-17 a Tagabitla iti Kamara dagiti Pannakabagi iti Estados Unidos (1835–1839) ken Gobernador iti Tennessee (1839–1841). Ni Polk ket isu ti surpresa a kandidato para iti presidente idi 1844, nga inabakna ni Henry Clay iti kasuppiatna a Partido Whig babaen ti panagikarina a mangikapet ti Texas. Ni Polk ket daulo idi ti Jacksoniano a Demokrasia iti panawen ti Maikadua a Partido a Sistema. <END>"
Zachary Taylor,"<START> Ni Zachary Taylor ket isu idi ti maika-12 a Presidente iti Estados Unidos (1849–1850) ken maysa nga Amerikano a daulo ti militar. Nangrugrugi a nagayat iti politiko, ni Taylor ket timmaray a kas maysa a Whig iti 1848 a panagbubutos to presidente, nga inabakna ni Lewis Cass. Isu ket maysa nga agmulmula ken agtagtagabu ken naikauertel idiay Baton Rouge, Louisiana. <END>"
Britney Spears,"<START> Ni Britney Jean Spears ket Amerikana a kumakanta ken aktres. Naipasngay idiay McComb, Mississippi, ken dimmakkel idiay Kentwood, Louisiana, isu ket nagpabpabuya kadagiti papel a kas aktres kadagiti produksion ti enteblado ken kadagiti pabuya ti telebision a kas ubing sakbay a nagpirma iti Jive Records idi 1997. <END>"
Michael Douglas,<START> Ni Michael Kirk Douglas ket maysa nga Amerikano nga aktor ken produser. <END>
Kylie Minogue,"<START> Ni Kylie Ann Minogue,, kadawyan nga ammo a kas Kylie, ket Australiana a kumakanta, mannurat ti kanta, ken aktres. <END>"
Cher,"<START> Ni Cher ket maysa nga Amerikana a kumakanata ken aktres. Makunkuna a ti Diosa ti Pop, isu ket naibagbaga a mangiladawan iti autonomia iti babai iti kaaduan iti lalaki nga industria. Isu ket ammo para iti naisangayan a contralto a boses ti panagkanata ken ti panagtrabtabahona kadagiti nadumaduma a kita ti panglinglingayan, ken ti pay pangampon kadagiti nadumaduma nga estilo ken itsura kadagiti las-ud ti agpaut iti lima a dekada a pagsapulan. <END>"
