Title,First Paragraph
Alec Guinness,"Sir Alec Guinness was an English actor. After an early career on the stage, Guinness was featured in several of the Ealing comedies, including Kind Hearts and Coronets (1949), in which he played eight different characters, The Lavender Hill Mob (1951), for which he received his first Academy Award nomination, and The Ladykillers (1955). He collaborated six times with director David Lean: Herbert Pocket in Great Expectations (1946), Fagin in Oliver Twist (1948), Col. Nicholson in The Bridge on the River Kwai (1957), for which he won both the Academy Award for Best Actor and the BAFTA Award for Best Actor, Prince Faisal in Lawrence of Arabia (1962), General Yevgraf Zhivago in Doctor Zhivago (1965), and Professor Godbole in A Passage to India (1984). In 1970, he played Jacob Marley's ghost in Ronald Neame's Scrooge. He also portrayed Obi-Wan Kenobi in George Lucas's original Star Wars trilogy; for the original 1977 film, he was nominated for Best Supporting Actor at the 50th Academy Awards."
John McCain,"John Sidney McCain III was an American politician and United States Navy officer who served as a United States senator from Arizona from 1987 until his death in 2018. He previously served two terms in the United States House of Representatives and was the Republican nominee for president of the United States in the 2008 election, which he lost to Barack Obama."
Buster Keaton,"Joseph Frank ""Buster"" Keaton was an American actor, comedian and film director. He is best known for his silent films during the 1920s, in which he performed physical comedy and stunts with a stoic, deadpan expression that became his trademark and earned him the nickname ""The Great Stone Face"". Critic Roger Ebert wrote of Keaton's ""extraordinary period from 1920 to 1929"" when he ""worked without interruption"" as having made him ""the greatest actor-director in the history of the movies"". In 1996, Entertainment Weekly recognized Keaton as the seventh-greatest film director. and in 1999 the American Film Institute ranked him as the 21st-greatest male star of classic Hollywood cinema."
Sidney Poitier,"Sidney Poitier was a Bahamian and American actor, film director, and diplomat. In 1964, he was the first Black actor and first Bahamian to win the Academy Award for Best Actor. He received two competitive Golden Globe Awards, a BAFTA Award, and a Grammy Award as well as nominations for two Emmy Awards and a Tony Award. In 1999, he was ranked among the ""American Film Institute's 100 Stars"". 
Poitier was one of the last surviving stars from the Golden Age of Hollywood cinema."
Mary Pickford,"Gladys Louise Smith, known professionally as Mary Pickford, was a Canadian actress resident in the U.S., and also producer, screenwriter, and film studio founder, who was a pioneer in the US film industry with a Hollywood career that spanned five decades."
Lillian Gish,"Lillian Diana Gish was an American actress. Her film-acting career spanned 75 years, from 1912, in silent film shorts, to 1987. Gish was called the ""First Lady of American Cinema"", and is credited with pioneering fundamental film performance techniques. In 1999, the American Film Institute ranked Gish as the 17th greatest female movie star of Classic Hollywood cinema."
Carl Linnaeus,"Carl Linnaeus, also known after ennoblement in 1761 as Carl von Linné, was a Swedish biologist and physician who formalised binomial nomenclature, the modern system of naming organisms. He is known as the ""father of modern taxonomy"". Many of his writings were in Latin; his name is rendered in Latin as Carolus Linnæus and, after his 1761 ennoblement, as Carolus a Linné."
Harold Lloyd,"Harold Clayton Lloyd Sr. was an American actor, comedian, and stunt performer who appeared in many silent comedy films."
Adrien Brody,"Adrien Nicholas Brody is an American actor. He is known for his portrayal of Władysław Szpilman in Roman Polanski's war drama The Pianist (2002), for which he won the Academy Award for Best Actor at age 29, becoming the youngest actor to win in that category. He also became the second American male actor to win the César Award for Best Actor for the same film. He has starred in several other films and has received several other awards including nominations for a Golden Globe Award and a Primetime Emmy Award."
Jawaharlal Nehru,"Jawaharlal Nehru was an Indian anti-colonial nationalist, statesman, secular humanist, social democrat, and author who was a central figure in India during the middle of the 20th century. Nehru was a principal leader of the Indian nationalist movement in the 1930s and 1940s. Upon India's independence in 1947, he served as the country's first prime minister for 16 years. Nehru promoted parliamentary democracy, secularism, and science and technology during the 1950s, powerfully influencing India's arc as a modern nation. In international affairs, he steered India clear of the two blocs of the Cold War. A well-regarded author, his books written in prison, such as Letters from a Father to His Daughter (1929), An Autobiography (1936) and The Discovery of India (1946), have been read around the world."
Julius Caesar,"Gaius Julius Caesar was a Roman general and statesman. A member of the First Triumvirate, Caesar led the Roman armies in the Gallic Wars before defeating his political rival Pompey in a civil war, and subsequently became dictator from 49 BC until his assassination in 44 BC. He played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire."
Holly Hunter,"Holly Hunter is an American actress. Hunter won the Academy Award for Best Actress for her performance as Ada McGrath in the 1993 drama film The Piano. She earned three additional Academy Award nominations for Broadcast News (1987), The Firm (1993), and Thirteen (2003). She won two Primetime Emmy Awards for Outstanding Lead Actress in a Limited Series or Movie for the television films Roe vs. Wade (1989) and The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom (1993). She also starred in the TNT drama series Saving Grace (2007–2010)."
William Hurt,"William McChord Hurt was an American actor. He is widely known for his performances on stage and screen, he received various awards including an Academy Award, BAFTA Award, and Cannes Film Festival Award for Best Actor."
Simone Signoret,"Simone Signoret was a French actress. She received various accolades, including an Academy Award, three BAFTA Awards, a César Award, a Primetime Emmy Award, and the Cannes Film Festival Award for Best Actress, in addition to nominations for two Golden Globe Awards."
Jean-Paul Belmondo,"Jean-Paul Charles Belmondo was a French actor. Initially associated with the New Wave of the 1960s, he was a major French film star for several decades from the 1960s onward. His best known credits include Breathless (1960), That Man from Rio (1964), Pierrot le Fou (1965), Borsalino (1970), and The Professional (1981). He was most notable for portraying police officers in action thriller films and became known for his unwillingness to appear in English-language films despite being heavily courted by Hollywood. An undisputed box-office champion like Louis de Funès and Alain Delon of the same period, Belmondo attracted nearly 160 million spectators in his 50-year career. Between 1969 and 1982 he played four times in the most popular films of the year in France: The Brain (1969), Fear Over the City (1975), Animal (1977), Ace of Aces (1982), being surpassed on this point only by Louis de Funès. The popularity of Jean-Paul Belmondo as actor is mainly due to the characters he interpreted in his movies, loving to highlight the virile man, fighter, but also brave and heroic, which appealed to a wide audience in France and also abroad."
Alain Delon,"Alain Fabien Maurice Marcel Delon is a French actor, singer, filmmaker, and businessman. He was one of Europe's most prominent actors and screen sex symbols in the 1960s, 1970s and 1980s. In 1985, he won the César Award for Best Actor for his performance in Notre histoire (1984). In 1991, he became a member of France's Legion of Honour. At the 45th Berlin International Film Festival, he won the Honorary Golden Bear. At the 2019 Cannes Film Festival, he received the Honorary Palme d'Or."
Dante Alighieri,"Dante Alighieri, most likely baptized Durante di Alighiero degli Alighieri and often referred to as Dante, was a Florentine poet, writer, and philosopher. His Divine Comedy, originally called Comedìa and later christened Divina by Giovanni Boccaccio, is widely considered one of the most important poems of the Middle Ages and the greatest literary work in the Italian language."
Gregory Peck,"Eldred Gregory Peck was an American actor and one of the most popular film stars from the 1940s to the 1970s. In 1999, the American Film Institute named Peck the 12th-greatest male star of Classic Hollywood Cinema."
Carrie Fisher,"Carrie Frances Fisher was an American actress and writer. Fisher played Princess Leia in the original Star Wars films (1977–1983). She reprised the role in Star Wars: The Force Awakens (2015), The Last Jedi (2017) — a posthumous release that was dedicated to her — and appeared in The Rise of Skywalker (2019), through the use of unreleased footage from The Force Awakens."
Richard Mentor Johnson,"Richard Mentor Johnson was an American lawyer, military officer and politician who served as the ninth vice president of the United States, serving from 1837 to 1841 under President Martin Van Buren. He is the only vice president elected by the United States Senate under the provisions of the Twelfth Amendment. Johnson also represented Kentucky in the U.S. House of Representatives and Senate. He began and ended his political career in the Kentucky House of Representatives."
Mars Ravelo,"Marcial ""Mars"" Custodio Ravelo was a Filipino comic book cartoonist and graphic novelist. Dubbed as the ""King of Philippine Komiks"", he is notable for creating Darna, Dyesebel, Captain Barbell, Lastikman, Bondying, Varga, Wanted: Perfect Mother, Hiwaga, Maruja, Mariposa, Roberta, Rita, Buhay Pilipino, Jack and Jill, Flash Bomba, Tiny Tony, and Dragonna among others."
Tigran Sargsyan,"Tigran Sureni Sargsyan is an Armenian political figure who was Prime Minister of Armenia from 2008 to 2014. Previously he was Chairman of the Central Bank of Armenia from 1998 to 2008. After leaving office as prime minister, he served as ambassador to the United States from 2014 to 2016 and as chairman of the board of the Eurasian Economic Commission from 2016 to 2020."
Robert Blust,"Robert A. Blust was an American linguist who worked in several areas, including historical linguistics, lexicography and ethnology. He was Professor of Linguistics at the University of Hawaiʻi at Mānoa. Blust specialized in the Austronesian languages and made major contributions to the field of Austronesian linguistics."
Joanne Woodward,"Joanne Gignilliat Trimmier Woodward is an American retired actress. She made her career breakthrough in the 1950s and earned esteem and respect playing complex women with a characteristic nuance and depth of character. Her accolades include an Academy Award, three Primetime Emmy Awards, a British Academy Film Award, three Golden Globe Awards, and a Screen Actors Guild Award. She is the oldest living Best Actress Oscar-winner."
Nelson Rockefeller,"Nelson Aldrich Rockefeller, sometimes referred to by his nickname Rocky, was an American businessman and politician who served as the 41st vice president of the United States from 1974 to 1977 under President Gerald Ford. A member of the Republican Party and the wealthy Rockefeller family, he previously served as the 49th governor of New York from 1959 to 1973. Rockefeller also served as assistant secretary of State for American Republic Affairs for Presidents Franklin D. Roosevelt and Harry S. Truman (1944–1945) as well as under secretary of Health, Education and Welfare (HEW) under Dwight D. Eisenhower from 1953 to 1954. A son of John D. Rockefeller Jr. and Abby Aldrich Rockefeller as well as a grandson of Standard Oil co-founder John D. Rockefeller, he was a noted art collector and served as administrator of Rockefeller Center in Manhattan, New York City."
Bill Clinton,"William Jefferson Clinton is an American politician who served as the 42nd president of the United States from 1993 to 2001. A member of the Democratic Party, he previously served as Governor of Arkansas from 1979 to 1981 and again from 1983 to 1992. Clinton, whose policies reflected a centrist ""Third Way"" political philosophy, became known as a New Democrat."
Fidel Castro,"Fidel Alejandro Castro Ruz was a Cuban revolutionary and politician who was the leader of Cuba from 1959 to 2008, serving as the prime minister of Cuba from 1959 to 1976 and president from 1976 to 2008. Ideologically a Marxist–Leninist and Cuban nationalist, he also served as the first secretary of the Communist Party of Cuba from 1965 until 2011. Under his administration, Cuba became a one-party communist state; industry and business were nationalized, and socialist reforms were implemented throughout society."
Hector Berlioz,"Louis-Hector Berlioz was a French Romantic composer and conductor. His output includes orchestral works such as the Symphonie fantastique and Harold in Italy, choral pieces including the Requiem and L'Enfance du Christ, his three operas Benvenuto Cellini, Les Troyens and Béatrice et Bénédict, and works of hybrid genres such as the ""dramatic symphony"" Roméo et Juliette and the ""dramatic legend"" La Damnation de Faust."
Harry S. Truman,"Harry S. Truman was the 33rd president of the United States, serving from 1945 to 1953. A member of the Democratic Party, he previously served as a United States senator from Missouri from 1935 to 1945 and briefly as the 34th vice president in 1945 under Franklin D. Roosevelt. Assuming the presidency after Roosevelt's death, Truman implemented the Marshall Plan in the wake of World War II to rebuild the economy of Western Europe and established both the Truman Doctrine and NATO to contain the expansion of Soviet communism. He proposed numerous liberal domestic reforms, but few were enacted by the conservative coalition that dominated the Congress."
Judy Garland,"Judy Garland was an American actress and singer. She attained international stardom and critical acclaim: as an actress in both musical and dramatic roles; as a recording artist; and on the concert stage. Renowned for her versatility, she received a Golden Globe Award, a Special Tony Award and was one of twelve in history to receive an Academy Juvenile Award. Garland won the Grammy Award for Album of the Year for her 1961 live recording, Judy at Carnegie Hall; she was the first woman to win that award."
Robert Donat,"Friedrich Robert Donat was an English actor. He is best remembered for his roles in Alfred Hitchcock's The 39 Steps (1935) and Goodbye, Mr. Chips (1939), winning for the latter the Academy Award for Best Actor."
Ramon Magsaysay,"Ramon del Fierro Magsaysay was a Filipino statesman who served as the seventh President of the Philippines, from December 30, 1953, until his death in an aircraft disaster on March 17, 1957. An automobile mechanic by profession, Magsaysay was appointed military governor of Zambales after his outstanding service as a guerrilla leader during the Pacific War. He then served two terms as Liberal Party congressman for Zambales's at-large district before being appointed Secretary of National Defense by President Elpidio Quirino. He was elected president under the banner of the Nacionalista Party. He was the youngest to be elected as president, and second youngest to be president. He was the first Philippine president born in the 20th century and the first to be born after the Spanish colonial era."
John Adams,"John Adams was an American statesman, attorney, diplomat, writer, and Founding Father who served as the second president of the United States from 1797 to 1801. Before his presidency, he was a leader of the American Revolution that achieved independence from Great Britain. During the latter part of the Revolutionary War and in the early years of the new nation, he served the U.S. government as a senior diplomat in Europe. Adams was the first person to hold the office of vice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and adviser Abigail Adams and his friend and political rival Thomas Jefferson."
Thomas Jefferson,"Thomas Jefferson was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809. He was the primary author of the Declaration of Independence. Following the American Revolutionary War and prior to becoming president in 1801, Jefferson was the nation's first U.S. secretary of state under George Washington and then the nation's second vice president under John Adams."
James Madison,"James Madison was an American statesman, diplomat, and Founding Father who served as the fourth president of the United States from 1809 to 1817. Madison was popularly acclaimed the ""Father of the Constitution"" for his pivotal role in drafting and promoting the Constitution of the United States and the Bill of Rights."
James Monroe,"James Monroe was an American statesman, lawyer, diplomat, and Founding Father who served as the fifth president of the United States from 1817 to 1825, a member of the Democratic-Republican Party. He was the last Founding Father to serve as president as well as the last president of the Virginia dynasty. His presidency coincided with the Era of Good Feelings, concluding the First Party System era of American politics. He issued the Monroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe previously served as governor of Virginia, a member of the United States Senate, U.S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war."
John Quincy Adams,"John Quincy Adams was an American statesman, politician, diplomat, lawyer, and diarist who served as the sixth president of the United States, from 1825 to 1829. He previously served as the eighth United States secretary of state from 1817 to 1825. During his long diplomatic and political career, Adams served as an ambassador and also as a member of the United States Congress representing Massachusetts in both chambers. He was the eldest son of John Adams, who served as the second president of the United States from 1797 to 1801, and First Lady Abigail Adams. Initially a Federalist like his father, he won election to the presidency as a member of the Democratic-Republican Party, and later, in the mid-1830s, became affiliated with the Whig Party."
Andrew Jackson,"Andrew Jackson was an American lawyer, planter, general, and statesman who served as the seventh president of the United States from 1829 to 1837. Before his presidency, he gained fame as a general in the U.S. Army and served in both houses of the U.S. Congress. Often praised as an advocate for ordinary Americans and for his work in preserving the union of states, Jackson has also been criticized for his racial policies, particularly his treatment of Native Americans."
Martin Van Buren,"Martin Van Buren was an American lawyer, diplomat, and statesman who served as the eighth president of the United States from 1837 to 1841. A primary founder of the Democratic Party, he served as New York's attorney general and U.S. senator, then briefly as the ninth governor of New York before joining Andrew Jackson's administration as the tenth United States secretary of state, minister to Great Britain, and ultimately the eighth vice president when named Jackson's running mate for the 1832 election. Van Buren won the presidency in 1836 against divided Whig opponents. Van Buren lost re-election in 1840, and failed to win the Democratic nomination in 1844. Later in his life, Van Buren emerged as an elder statesman and an important anti-slavery leader who led the Free Soil Party ticket in the 1848 presidential election."
William Henry Harrison,"William Henry Harrison was an American military officer and politician who served as the ninth president of the United States. Harrison died just 31 days after his inauguration as president in 1841, making his presidency the shortest in U.S. history. He was also the first U.S. president to die in office, causing a brief constitutional crisis since presidential succession was not then fully defined in the United States Constitution. Harrison was the last president born as a British subject in the Thirteen Colonies and was the paternal grandfather of Benjamin Harrison, the 23rd president of the United States."
John Tyler,"John Tyler was an American politician who served as the tenth president of the United States from 1841 to 1845, after briefly holding office as the tenth vice president in 1841. He was elected vice president on the 1840 Whig ticket with President William Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office. Tyler was a stalwart supporter and advocate of states' rights, including regarding slavery, and he adopted nationalistic policies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions of Henry Clay and other Whig politicians and left Tyler estranged from both of the nation's major political parties at the time."
Usain Bolt,"Usain St. Leo Bolt is a Jamaican retired sprinter, widely considered to be the greatest sprinter of all time. He is the world record holder in the 100 metres, 200 metres, and 4 × 100 metres relay."
James K. Polk,"James Knox Polk was the eleventh president of the United States, serving from 1845 to 1849. He also served as the thirteenth speaker of the House of Representatives from 1835 to 1839 and the ninth governor of Tennessee from 1839 to 1841. A protégé of Andrew Jackson, he was a member of the Democratic Party and an advocate of Jacksonian democracy. Polk is known for extending the territory of the United States through the Mexican–American War during his presidency, annexing the Republic of Texas, the Oregon Territory, and the Mexican Cession after winning the Mexican–American War."
Zachary Taylor,"Zachary Taylor was an American military leader who served as the 12th president of the United States from 1849 until his death in 1850. Taylor was a career officer in the United States Army, rising to the rank of major general and becoming a national hero for his victories in the Mexican–American War. As a result, he won election to the White House despite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from a stomach disease."
Britney Spears,"Britney Jean Spears is an American singer. Often referred to as the ""Princess of Pop"", she is credited with influencing the revival of teen pop during the late 1990s and early 2000s. Spears has sold over 150 million records worldwide, making her one of the world's best-selling music artists. She has earned numerous awards and accolades, including a Grammy Award, 15 Guinness world records, six MTV Video Music Awards, seven Billboard Music Awards, the inaugural Radio Disney Icon Award, and a star on the Hollywood Walk of Fame. Her heavily choreographed videos earned her the Michael Jackson Video Vanguard Award."
Michael Douglas,"Michael Kirk Douglas is an American actor and film producer. He has received numerous accolades, including two Academy Awards, five Golden Globe Awards, a Primetime Emmy Award, the Cecil B. DeMille Award, and the AFI Life Achievement Award."
Kylie Minogue,"Kylie Ann Minogue is an Australian singer, songwriter and actress. Minogue is the highest-selling female recording artist from Australia, having sold over 80 million records worldwide. She has been recognised for reinventing herself in music as well as fashion, and is referred to by the European press as the ""Princess of Pop"" and a style icon. Her accolades include two Grammy Awards, four Brit Awards and eighteen ARIA Music Awards."
Cher,"Cher is an American singer, actress and television personality. Often referred to by the media as the ""Goddess of Pop"", she has been described as embodying female autonomy in a male-dominated industry. Known for her distinctive contralto singing voice, for having worked in numerous areas of entertainment and for adopting a variety of styles/appearances. Cher rose to fame in 1965 as one half of the folk rock husband-wife duo Sonny & Cher before releasing her first solo top-ten singles ""Bang Bang "" and ""You Better Sit Down Kids"". Throughout the 1970s, she scored the US Billboard Hot 100 number-one singles ""Gypsys, Tramps & Thieves"", ""Half-Breed"", and ""Dark Lady"", becoming the female solo artist with the most number-one singles in US history at the time."
Władysław Reymont,Władysław Stanisław Reymont was a Polish novelist and the laureate of the 1924 Nobel Prize in Literature. His best-known work is the award-winning four-volume novel Chłopi.
José Palma,"José Palma y Velásquez was a Filipino poet and soldier. He was on the staff of La independencia at the time he wrote ""Filipinas"", a patriotic poem in Spanish. It was published for the first time in the issue of the first anniversary of La independencia on September 3, 1899. The poem fit the instrumental tune ""Marcha Nacional Filipina"" by Julián Felipe, and it has since been the basis for every translation of the Philippine National Anthem."
Charles Édouard Guillaume,"Charles Édouard Guillaume was a Swiss physicist who received the Nobel Prize in Physics in 1920 in recognition of the service he had rendered to precision measurements in physics by his discovery of anomalies in nickel steel alloys. In 1919, he gave the fifth Guthrie Lecture at the Institute of Physics in London with the title ""The Anomaly of the Nickel-Steels""."
Millard Fillmore,"Millard Fillmore was the 13th president of the United States, serving from 1850 to 1853, the last president to have been a member of the Whig Party while in office. A former member of the U.S. House of Representatives, Fillmore was elected vice president in 1848, and succeeded to the presidency in July 1850 on the death of Zachary Taylor. Fillmore was instrumental in passing the Compromise of 1850, which led to a brief truce in the battle over the expansion of slavery."
Franklin Pierce,"Franklin Pierce was an American politician who served as the 14th president of the United States from 1853 to 1857. A northern Democrat who believed that the abolitionist movement was a fundamental threat to the nation's unity, he alienated anti-slavery groups by signing the Kansas–Nebraska Act and enforcing the Fugitive Slave Act. Conflict between North and South continued after Pierce's presidency, and, after Abraham Lincoln was elected president in 1860, the Southern states seceded, resulting in the American Civil War."
James Buchanan,"James Buchanan Jr. was an American lawyer, diplomat, and politician. He served as the 15th president of the United States from 1857 to 1861, as the secretary of State from 1845 to 1849, and represented Pennsylvania in both houses of the U.S. Congress. He was an advocate for states' rights, particularly regarding slavery, and minimized the role of the federal government preceding the Civil War."
Michael Caine,"Sir Michael Caine is an English retired actor. Known for his distinctive Cockney accent, he has appeared in more than 160 films over a career spanning eight decades and is considered a British film icon. He has received numerous awards including two Academy Awards, a BAFTA Award, three Golden Globe Awards, and a Screen Actors Guild Award. As of 2017, the films in which Caine has appeared have grossed over $7.8 billion worldwide. Caine is one of only five male actors to be nominated for an Academy Award for acting in five different decades. In 2000, he received a BAFTA Fellowship and was knighted by Queen Elizabeth II."
Sinclair Lewis,"Harry Sinclair Lewis was an American novelist, short-story writer, and playwright. In 1930, he became the first author from the United States to receive the Nobel Prize in Literature, which was awarded ""for his vigorous and graphic art of description and his ability to create, with wit and humor, new types of characters."" Lewis wrote six popular novels: Main Street (1920), Babbitt (1922), Arrowsmith (1925), Elmer Gantry (1927), Dodsworth (1929), and It Can't Happen Here (1935)."
Gloria Macapagal Arroyo,"Maria Gloria Macaraeg Macapagal, often referred to by her initials PGMA and GMA, is a Filipino academic and politician who previously served as the 14th President of the Philippines from 2001 to 2010. She is the longest serving president of the Philippines since Ferdinand Marcos. Before her accession to the presidency, she served as the 10th Vice President of the Philippines from 1998 to 2001 under President Joseph Ejercito Estrada, making her the country's first female vice president, despite having run on an opposing ticket. She was also a Senator from 1992 to 1998. After her presidency, she was elected as the Representative of Pampanga's 2nd district in 2010 and later became the Speaker of the House of Representatives on 2018 to 2019. She was also serving in the congress as a Deputy Speaker from 2016 to 2017 and from 2022 until 2023. She is one of the only 2 Filipinos to hold at least three of the four highest offices in the country: vice president, president, and house speaker, alongside former President Sergio Osmeña."
Boutros Boutros-Ghali,"Boutros Boutros-Ghali was an Egyptian politician and diplomat who served as the sixth Secretary-General of the United Nations from 1992 to 1996. Prior to his appointment as secretary-general, Boutros-Ghali was the acting Minister of Foreign Affairs of Egypt between 1977 and 1979. He oversaw the United Nations over a period coinciding with several world crises, including the breakup of Yugoslavia and the Rwandan genocide."
Frédéric Chopin,"Frédéric François Chopin was a Polish composer and virtuoso pianist of the Romantic period, who wrote primarily for solo piano. He has maintained worldwide renown as a leading musician of his era, one whose ""poetic genius was based on a professional technique that was without equal in his generation""."
José Echegaray,"José Echegaray y Eizaguirre was a Spanish civil engineer, mathematician, statesman, and one of the leading Spanish dramatists of the last quarter of the 19th century. He was awarded the 1904 Nobel Prize in Literature ""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""."
Earl Hooker,"Earl Zebedee Hooker was a Chicago blues guitarist known for his slide guitar playing. Considered a ""musician's musician"", he performed with blues artists such as Sonny Boy Williamson II, Junior Wells, and John Lee Hooker and fronted his own bands. An early player of the electric guitar, Hooker was influenced by the modern urban styles of T-Bone Walker and Robert Nighthawk. He recorded several singles and albums as a bandleader and with other well-known artists. His ""Blue Guitar"", a slide guitar instrumental single, was popular in the Chicago area and was later overdubbed with vocals by Muddy Waters as ""You Shook Me""."
Arthur Compton,"Arthur Holly Compton was an American physicist who won the Nobel Prize in Physics in 1927 for his 1923 discovery of the Compton effect, which demonstrated the particle nature of electromagnetic radiation. It was a sensational discovery at the time: the wave nature of light had been well-demonstrated, but the idea that light had both wave and particle properties was not easily accepted. He is also known for his leadership over the Metallurgical Laboratory at the University of Chicago during the Manhattan Project, and served as chancellor of Washington University in St. Louis from 1945 to 1953."
Leonid Chernovetskyi,"Leonid Mykhaylovych Chernovetskyi is a former Mayor of Kyiv, the capital of Ukraine, from 2006 until the summer of 2012. He was a successful businessman, founder and controlling stakeholder of the Pravex Group and Pravex Bank, one of the largest banks in Ukraine. Since the appointment by President Viktor Yanukovych of Oleksandr Popov as Head of Kyiv City State Administration on 16 November 2010, replacing Chernovetskyi, Chernovetskyi was deprived of any real decision-making role in Kyiv. He tendered his resignation on 1 June 2012."
Fernandel,"Fernand Joseph Désiré Contandin, better known as Fernandel, was a French comic actor. Born near Marseille, France, to Désirée Bedouin and Denis Contandin, originating in Perosa Argentina, a town located in the province of Turin, Italy, he became a comedy star, first gaining popularity in French vaudeville, operettas, and music-hall revues. His stage name originated from his marriage to Henriette Manse, the sister of his best friend and frequent cinematic collaborator Jean Manse. So attentive was he to his wife that his mother-in-law amusingly referred to him as Fernand d'elle."
Roger Martin du Gard,"Roger Martin du Gard was a French novelist, winner of the 1937 Nobel Prize in Literature."
Verner von Heidenstam,"Carl Gustaf Verner von Heidenstam was a Swedish poet, novelist and laureate of the 1916 Nobel Prize in Literature. He was a member of the Swedish Academy from 1912. His poems and prose work are filled with a great joy of life, sometimes imbued with a love of Swedish history and scenery, particularly its physical aspects."
Patrick White,"Patrick Victor Martindale White was a British-born Australian writer who published 12 novels, three short-story collections, and eight plays, from 1935 to 1987."
